Название;Цена;Длительность;Описание
Консультация специалиста традиционной китайской медицины;7000;40;Первичный осмотр и составление плана (ориентир — заменить на прайс клиента)
Повторная консультация специалиста ТКМ;4000;20;Контрольный приём (ориентир — заменить на прайс клиента)
Иглорефлексотерапия (акупунктура), 1 сеанс;6000;40;Сеанс иглоукалывания (ориентир — заменить на прайс клиента)
Курс акупунктуры (10 сеансов);50000;400;Комплексный курс иглорефлексотерапии (ориентир — заменить на прайс клиента)
Массаж туйна, 1 сеанс;7000;60;Китайский лечебный массаж туйна (ориентир — заменить на прайс клиента)
Массаж туйна (детский), 1 сеанс;5000;40;Детский лечебный массаж (ориентир — заменить на прайс клиента)
Вакуумтерапия (баночный массаж), 1 сеанс;4000;30;Лечение вакуумными банками (ориентир — заменить на прайс клиента)
Моксотерапия (прогревание полынью), 1 сеанс;5000;30;Тепловое воздействие моксой (ориентир — заменить на прайс клиента)
Гуаша (скребковый массаж), 1 сеанс;4000;30;Процедура гуаша (ориентир — заменить на прайс клиента)
Аурикулотерапия (воздействие на точки уха);4000;30;Микроиглотерапия ушной раковины (ориентир — заменить на прайс клиента)
Фитотерапия (подбор травяного сбора);6000;30;Индивидуальный подбор фитосбора (ориентир — заменить на прайс клиента)
Травяной сбор (курс на неделю);8000;5;Индивидуальный сбор трав (ориентир — заменить на прайс клиента)
Точечный массаж (акупрессура), 1 сеанс;5000;40;Массаж по активным точкам (ориентир — заменить на прайс клиента)
Прогревающие процедуры (фитобочка/аппликации), 1 сеанс;4500;40;Тепловая процедура (ориентир — заменить на прайс клиента)
Комплекс ТКМ при болях в спине (сеанс);9000;60;Акупунктура + массаж по показаниям (ориентир — заменить на прайс клиента)
Диагностика по пульсу и языку (в рамках консультации);5000;30;Традиционная диагностика ТКМ (ориентир — заменить на прайс клиента)
Программа восстановления (курс, 10 процедур);80000;600;Комплексная программа ТКМ (ориентир — заменить на прайс клиента)
Лимфодренажный/оздоровительный массаж, 1 сеанс;7000;60;Оздоровительный массаж (ориентир — заменить на прайс клиента)
Иглотерапия при головной боли/мигрени (сеанс);6000;40;Акупунктура по показаниям (ориентир — заменить на прайс клиента)
Консультация по здоровому образу жизни (ТКМ-подход);4000;30;Рекомендации по питанию и режиму (ориентир — заменить на прайс клиента)
